"HOUSING_MODEL$coefficients" "NAME"
"CITYSte-Clotilde-De-Beauce" -99383.2924116569 "CITYSte-Clotilde-De-Beauce"
"CITYSte-Clotilde-De-Chateauguay" -9422.78953202741 "CITYSte-Clotilde-De-Chateauguay"
"CITYSte-Clotilde-De-Horton" -9858.42589531962 "CITYSte-Clotilde-De-Horton"
"CITYSte-Croix" -62836.2228627847 "CITYSte-Croix"
"CITYSte-Dorothée" 117873.512304256 "CITYSte-Dorothée"
"CITYSte-Dorothée (Îles-Laval)" 239709.89737866 "CITYSte-Dorothée (Îles-Laval)"
"CITYSte-Edwidge" -74436.4507982246 "CITYSte-Edwidge"
"CITYSte-Edwidge-De-Clifton" -88498.5875127091 "CITYSte-Edwidge-De-Clifton"
"CITYSte-Élisabeth" -79088.0079820008 "CITYSte-Élisabeth"
"CITYSte-Elisabeth-de-Proulx" -80830.1347448018 "CITYSte-Elisabeth-de-Proulx"
"CITYSte-Elisabeth-De-Warwick" 3382.32186987294 "CITYSte-Elisabeth-De-Warwick"
"CITYSte-Émélie-De-L'Énergie" -38349.302298885 "CITYSte-Émélie-De-L'Énergie"
"CITYSte-Eulalie" -102928.988540474 "CITYSte-Eulalie"
"CITYSte-Euphemie-Sur-Riviere-Du-Sud" -346543.002543419 "CITYSte-Euphemie-Sur-Riviere-Du-Sud"
"CITYSte-Flavie" -109099.931914526 "CITYSte-Flavie"
"CITYSte-Foy" 76725.5505185635 "CITYSte-Foy"
"CITYSte-Francoise-De-Lotbiniere" -121496.095770182 "CITYSte-Francoise-De-Lotbiniere"
"CITYSte-Genevieve-De-Batiscan" -126095.53958799 "CITYSte-Genevieve-De-Batiscan"
"CITYSte-Geneviève-De-Berthier" -81512.3947524826 "CITYSte-Geneviève-De-Berthier"
"CITYSte-Germaine-Boule" -154176.303141011 "CITYSte-Germaine-Boule"
"CITYSte-Hedwidge" -143191.275765669 "CITYSte-Hedwidge"
"CITYSte-Hélène" -40390.2788468211 "CITYSte-Hélène"
"CITYSte-Hélène-De-Bagot" -23836.9898533268 "CITYSte-Hélène-De-Bagot"
"CITYSte-Hélène-De-Kamouraska" -139906.349346131 "CITYSte-Hélène-De-Kamouraska"
"CITYSte-Hénédine" -62301.6437506664 "CITYSte-Hénédine"
"CITYSte-Irène" -73537.2983688634 "CITYSte-Irène"
"CITYSte-Jeanne-D'Arc" -192636.89752244 "CITYSte-Jeanne-D'Arc"
"CITYSte-Julie" 83718.3951230624 "CITYSte-Julie"
"CITYSte-Julienne" -41739.2788510173 "CITYSte-Julienne"
"CITYSte-Justine" -154847.808115141 "CITYSte-Justine"
"CITYSte-Justine-De-Newton" -2571.17573415148 "CITYSte-Justine-De-Newton"
"CITYSte-Louise" -146349.361891309 "CITYSte-Louise"
"CITYSte-Luce (Luceville)" -81941.2895456684 "CITYSte-Luce (Luceville)"
"CITYSte-Luce (Ste-Luce-sur-Mer)" -42932.4062147768 "CITYSte-Luce (Ste-Luce-sur-Mer)"
"CITYSte-Lucie-Des-Laurentides" -38540.3422282262 "CITYSte-Lucie-Des-Laurentides"
"CITYSte-Madeleine" 29821.6235916255 "CITYSte-Madeleine"
"CITYSte-Madeleine-De-La-Riviere-Madeleine" -138548.422710569 "CITYSte-Madeleine-De-La-Riviere-Madeleine"
"CITYSte-Marcelline-De-Kildare" -48952.7126766557 "CITYSte-Marcelline-De-Kildare"
"CITYSte-Marguerite-De-Beauce" -77812.4510857175 "CITYSte-Marguerite-De-Beauce"
"CITYSte-Marguerite-Du-Lac-Masson" 17270.993210367 "CITYSte-Marguerite-Du-Lac-Masson"
"CITYSte-Marie" -59192.4873318203 "CITYSte-Marie"
"CITYSte-Marie-De-Blandford" -106029.60699688 "CITYSte-Marie-De-Blandford"
"CITYSte-Marie-Madeleine" 9178.24394742145 "CITYSte-Marie-Madeleine"
"CITYSte-Marie-Salome" -72661.4143774516 "CITYSte-Marie-Salome"
"CITYSte-Marthe-Sur-Le-Lac" 41680.9979406708 "CITYSte-Marthe-Sur-Le-Lac"
"CITYSte-Martine" 20953.5025345474 "CITYSte-Martine"
"CITYSte-Mélanie" -53188.8149550529 "CITYSte-Mélanie"
"CITYSte-Monique" -169282.115644394 "CITYSte-Monique"
"CITYSte-Paule" -114722.60236123 "CITYSte-Paule"
"CITYSte-Perpétue" -99560.1209351028 "CITYSte-Perpétue"
"CITYSte-Perpétue-de-L'Islet" -109755.429988073 "CITYSte-Perpétue-de-L'Islet"
"CITYSte-Praxède" 2862.93019398729 "CITYSte-Praxède"
"CITYSte-Rita" -218954.671800608 "CITYSte-Rita"
"CITYSte-Rose" 104804.192838288 "CITYSte-Rose"
"CITYSte-Rose-De-Watford" -85958.633602669 "CITYSte-Rose-De-Watford"
"CITYSte-Rose-Du-Nord" -130750.80343073 "CITYSte-Rose-Du-Nord"
"CITYSte-Sabine" 6763.22201827766 "CITYSte-Sabine"
"CITYSte-Sabine-De-Bellechasse" -97671.3903544655 "CITYSte-Sabine-De-Bellechasse"
"CITYSte-Seraphine" -122725.560814707 "CITYSte-Seraphine"
"CITYSte-Sophie" -21221.4238130208 "CITYSte-Sophie"
"CITYSte-Sophie-D'Halifax" -84957.3174726501 "CITYSte-Sophie-D'Halifax"
"CITYSte-Sophie-De-Levrard" -184231.460795453 "CITYSte-Sophie-De-Levrard"
"CITYSte-Thecle" -155763.642711641 "CITYSte-Thecle"
"CITYSte-Therese" 58092.6273804039 "CITYSte-Therese"
"CITYSte-Therese-De-Gaspe" -3825.55943473175 "CITYSte-Therese-De-Gaspe"
"CITYSte-Thérèse-De-La-Gatineau" -39423.4052515327 "CITYSte-Thérèse-De-La-Gatineau"
"CITYSte-Ursule" -91366.1977782313 "CITYSte-Ursule"
"CITYSte-Victoire-De-Sorel" -2061.19608789617 "CITYSte-Victoire-De-Sorel"
"CITYStoke" -27327.0506286912 "CITYStoke"
"CITYStoneham" 32422.5268053894 "CITYStoneham"
"CITYStornoway" -123438.627456381 "CITYStornoway"
"CITYStratford" 4799.40301482634 "CITYStratford"
"CITYSts-Anges" -69259.7286236044 "CITYSts-Anges"
"CITYStukely" -96972.2546442086 "CITYStukely"
"CITYStukely-Sud" -4459.33839773289 "CITYStukely-Sud"
"CITYSutton" 56835.9451408949 "CITYSutton"
"CITYTadoussac" -79374.9999184872 "CITYTadoussac"
"CITYTemiscaming" -75708.1042688316 "CITYTemiscaming"
"CITYTémiscouata-sur-le-Lac" -108666.454439589 "CITYTémiscouata-sur-le-Lac"
"CITYTerrasse-Vaudreuil" 73876.848046878 "CITYTerrasse-Vaudreuil"
"CITYTerrebonne" 30800.5970659826 "CITYTerrebonne"
"CITYTerrebonne (La Plaine)" 8703.58544026518 "CITYTerrebonne (La Plaine)"
"CITYTerrebonne (Lachenaie)" 61603.6729714509 "CITYTerrebonne (Lachenaie)"
"CITYTerrebonne (Terrebonne)" 51474.489105931 "CITYTerrebonne (Terrebonne)"
"CITYTewkesbury" 47900.5917675804 "CITYTewkesbury"
"CITYThetford Mines" -113427.543369229 "CITYThetford Mines"
"CITYThurso" -55512.1072424357 "CITYThurso"
"CITYTingwick" 102080.035361908 "CITYTingwick"
"CITYTourville" -212685.459238399 "CITYTourville"
"CITYTrès-St-Rédempteur" -29505.7233210937 "CITYTrès-St-Rédempteur"
"CITYTrès-St-Sacrement" 107908.010523007 "CITYTrès-St-Sacrement"
"CITYTring-Jonction" -117333.853377327 "CITYTring-Jonction"
"CITYTrois-Pistoles" -92144.3564318748 "CITYTrois-Pistoles"
"CITYTrois-Rives" -53174.0850211311 "CITYTrois-Rives"
"CITYTrois-Rivières" -42084.0801615793 "CITYTrois-Rivières"
"CITYTrois-Rivières (Cap-De-La-Madeleine)" -73161.0675362803 "CITYTrois-Rivières (Cap-De-La-Madeleine)"
"CITYTrois-Rivières (Pointe-Du-Lac)" -55852.4078889143 "CITYTrois-Rivières (Pointe-Du-Lac)"
"CITYTrois-Rivières (St-Louis-De-France)" -87114.3418212722 "CITYTrois-Rivières (St-Louis-De-France)"
"CITYTrois-Rivières (Ste-Marthe-Du-Cap)" -79658.8227130337 "CITYTrois-Rivières (Ste-Marthe-Du-Cap)"
"CITYTrois-Rivières (Trois-Rivières-Ouest)" -66250.2800287207 "CITYTrois-Rivières (Trois-Rivières-Ouest)"
"CITYTrois-Rivières (Trois-Rivières)" -61532.2414498153 "CITYTrois-Rivières (Trois-Rivières)"
"CITYUlverton" -32860.5174734955 "CITYUlverton"
"CITYUpton" -72646.6634745722 "CITYUpton"
"CITYVal-Alain" -130389.593253927 "CITYVal-Alain"
"CITYVal-Barrette" -161928.880431204 "CITYVal-Barrette"
"CITYVal-Bélair" 13338.7419514498 "CITYVal-Bélair"
"CITYVal-Brillant" -108511.608271318 "CITYVal-Brillant"
"CITYVal-d'Or" 986.388038419888 "CITYVal-d'Or"
"CITYVal-d'Or (Val-Senneville)" -29156.6801183493 "CITYVal-d'Or (Val-Senneville)"
"CITYVal-David" 7430.03150083386 "CITYVal-David"
"CITYVal-Des-Bois" 799.23267227055 "CITYVal-Des-Bois"
"CITYVal-Des-Lacs" -24423.4080292353 "CITYVal-Des-Lacs"
"CITYVal-Des-Monts" 13554.4999963064 "CITYVal-Des-Monts"
"CITYVal-Des-Monts (Perkins)" 30109.8898060692 "CITYVal-Des-Monts (Perkins)"
"CITYVal-Des-Monts (St-Pierre-de-Wakefield)" -200.850462976417 "CITYVal-Des-Monts (St-Pierre-de-Wakefield)"
"CITYVal-des-Sources" -118361.586105785 "CITYVal-des-Sources"
"CITYVal-Joli" -43756.9952227334 "CITYVal-Joli"
"CITYVal-Morin" -12229.579219664 "CITYVal-Morin"
"CITYVal-Racine" -94985.1411290967 "CITYVal-Racine"
"CITYValcourt" -75966.4531233665 "CITYValcourt"
"CITYVallée-Jonction" -71566.5310990728 "CITYVallée-Jonction"
"CITYVanier" 28972.9541893107 "CITYVanier"
"CITYVarennes" 78567.1432701949 "CITYVarennes"
"CITYVaudreuil-Dorion" 62566.6558895627 "CITYVaudreuil-Dorion"
"CITYVaudreuil-Sur-Le-Lac" 82409.453519263 "CITYVaudreuil-Sur-Le-Lac"
"CITYVendée" -73162.3543021099 "CITYVendée"
"CITYVenise-En-Quebec" 59318.7244946189 "CITYVenise-En-Quebec"
"CITYVerchères" 35056.338426958 "CITYVerchères"
"CITYVerdun" 319758.626202699 "CITYVerdun"
"CITYVictoriaville" -72301.128142503 "CITYVictoriaville"
"CITYVieux-Québec" -3699.27058061258 "CITYVieux-Québec"
"CITYVille-Marie" -154218.709705041 "CITYVille-Marie"
"CITYVille-Marie (Centre-Ville et Vieux-Montréal)" 362377.626444138 "CITYVille-Marie (Centre-Ville et Vieux-Montréal)"
"CITYVilleray / St-Michel / Parc-Extension" 250680.359865905 "CITYVilleray / St-Michel / Parc-Extension"
"CITYVilleroy" -184820.551408841 "CITYVilleroy"
"CITYVimont" 113581.932439999 "CITYVimont"
"CITYWaltham" -83288.0835298377 "CITYWaltham"
"CITYWarden" -52258.7630277893 "CITYWarden"
"CITYWarwick" -70762.2195513024 "CITYWarwick"
"CITYWaterloo" -29729.7423104381 "CITYWaterloo"
"CITYWaterville" -57043.7027340993 "CITYWaterville"
"CITYWeedon" -61874.2156746187 "CITYWeedon"
"CITYWentworth" 10759.2497804295 "CITYWentworth"
"CITYWentworth-Nord" 32790.1063427322 "CITYWentworth-Nord"
"CITYWestbury" -51053.2969296536 "CITYWestbury"
"CITYWestmount" 606790.246770837 "CITYWestmount"
"CITYWickham" -61672.2780443487 "CITYWickham"
"CITYWindsor" -68519.5613272852 "CITYWindsor"
"CITYWotton" -119043.337710914 "CITYWotton"
"CITYYamachiche" -88512.064110395 "CITYYamachiche"
"CITYYamaska" -45674.7301101132 "CITYYamaska"
